# Written by the BoltzWann module of the Wannier90 code.
# [Electrical conductivity in SI units, i.e. in 1/Ohm/m]
# Mu(eV) Temp(K) ElCond_xx ElCond_xy ElCond_yy ElCond_xz ElCond_yz ElCond_zz
   6.78160000      0.100000001      0.410659432      -1.59374264E-04  0.312911510      -6.54987502E-07   2.43276031E-06   2.06491724E-02
   6.78160000       50.0999985       1398055.25       62.9198990       1040150.88       92.7763138       5.96723747       72339.7812    
   6.78160000       100.099998       1390731.25       51.0208435       1035685.31       174.496979       9.89908981       73435.4531    
   6.78160000       150.100006       1398815.75       41.9193802       1033770.00       241.114944       13.9367514       74598.0000    
   6.78160000       200.100006       1408429.12       41.8468513       1031700.38       295.602997       17.1639957       75624.1797    
   6.78160000       250.100006       1416855.62       47.0394745       1028461.12       340.567780       19.9365940       76413.0547    
   6.78160000       300.100006       1424854.88       54.8083649       1023975.25       378.403992       22.9038734       76962.2656    
   7.28160000      0.100000001      0.660769582      -1.82922275E-04  0.203411892       3.36128054E-04  -4.99637099E-06   5.48355952E-02
   7.28160000       50.0999985       2215753.75      -70.6944580       679013.750       1348.45715       5.01275206       190923.781    
   7.28160000       100.099998       2207944.00      -47.9974976       683036.125       1330.96777       44.0054817       192093.609    
   7.28160000       150.100006       2215594.75      -39.7570496       688464.250       1321.28552       70.8935623       192860.609    
   7.28160000       200.100006       2222701.25      -32.1731224       693154.188       1315.79419       87.2205734       193016.438    
   7.28160000       250.100006       2228312.00      -25.5289345       696838.500       1308.96069       96.0764999       192544.891    
   7.28160000       300.100006       2233394.00      -20.1312389       699534.562       1298.18457       100.127396       191491.875    
   7.78160000      0.100000001      0.694620788      -1.17862510E-04  0.174295887      -3.02121858E-04   1.24768267E-05   4.31030691E-02
   7.78160000       50.0999985       2460665.50      -66.1980286       612382.000      -1025.70142       50.7845078       148079.625    
   7.78160000       100.099998       2471116.00      -80.9726028       611703.750      -1027.60376       57.8576164       147498.391    
   7.78160000       150.100006       2471398.00      -79.7027588       611791.500      -1044.01331       63.2587051       146672.859    
   7.78160000       200.100006       2470117.75      -76.9210815       613157.625      -1059.05188       67.4046249       145470.219    
   7.78160000       250.100006       2468906.50      -74.4122391       615696.875      -1067.87585       70.4790649       144110.516    
   7.78160000       300.100006       2467892.50      -72.5222168       619281.750      -1070.20422       72.7959900       142770.359    
